f__	 o__GMD14H09	 c__Deltaproteobacteria	 p__Proteobacteria	k__Bacteria	1.36593605131e-05
f__Cytophagaceae	 o__Cytophagales	 c__Cytophagia	 p__Bacteroidetes	k__Bacteria	2.35620820595e-06
f__Verrucomicrobiaceae	 o__Verrucomicrobiales	 c__Verrucomicrobiae	 p__Verrucomicrobia	k__Bacteria	0.0175722489298
f__Sanguibacteraceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	8.64943612456e-07
f__RFP12	 o__WCHB1-41	 c__Verruco-5	 p__Verrucomicrobia	k__Bacteria	7.61791400089e-07
f__Mycoplasmataceae	 o__Mycoplasmatales	 c__Mollicutes	 p__Tenericutes	k__Bacteria	6.13194950654e-06
f__[Chthoniobacteraceae]	 o__[Chthoniobacterales]	 c__[Spartobacteria]	 p__Verrucomicrobia	k__Bacteria	2.0547640081e-06
f__Gaiellaceae	 o__Gaiellales	 c__Thermoleophilia	 p__Actinobacteria	k__Bacteria	2.98043417531e-06
f__[Paraprevotellaceae]	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__Bacteria	0.00782451169007
f__Aeromonadaceae	 o__Aeromonadales	 c__Gammaproteobacteria	 p__Proteobacteria	k__Bacteria	3.73792647059e-05
f__Alicyclobacillaceae	 o__Bacillales	 c__Bacilli	 p__Firmicutes	k__Bacteria	2.31392565277e-06
f__Geodermatophilaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	2.826433422e-07
f__Methylophilaceae	 o__Methylophilales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	3.16575878489e-05
f__Rhodocyclaceae	 o__Rhodocyclales	 c__Betaproteobacteria	 p__Proteobacteria	k__Bacteria	8.44924865719e-05
f__Spirochaetaceae	 o__Spirochaetales	 c__Spirochaetes	 p__Spirochaetes	k__Bacteria	3.9062551547e-06
f__Turicibacteraceae	 o__Turicibacterales	 c__Bacilli	 p__Firmicutes	k__Bacteria	0.000872891694744
f__Dermabacteraceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	2.38497735101e-05
f__Corynebacteriaceae	 o__Actinomycetales	 c__Actinobacteria	 p__Actinobacteria	k__Bacteria	0.005697493182
f__[Odoribacteraceae]	 o__Bacteroidales	 c__Bacteroidia	 p__Bacteroidetes	k__Bacteria	0.00267436088284
f__	 o__Caulobacterales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	4.12630122606e-07
f__Acetobacteraceae	 o__Rhodospirillales	 c__Alphaproteobacteria	 p__Proteobacteria	k__Bacteria	1.63699205106e-06
