	chao1	shannon	observed_otus	simpson	equitability
10317.000010102	480.818181818	5.54852006613	351.0	0.95278438	0.656215888701
10317.000008949B	568.934782609	5.99523074569	395.0	0.95906464	0.695042095063
10317.000010869	618.103448276	6.11874089313	428.0	0.95796864	0.699967282682
10317.000014571	609.4	6.40023755113	451.0	0.97345246	0.725898768174
10317.000010827	618.826086957	5.94550019485	395.0	0.96314438	0.689276707923
10317.000014162	588.130434783	5.88092408118	424.0	0.95795234	0.673805875271
10317.000016736	635.174418605	5.76221542138	474.0	0.95275588	0.648259856319
10317.000001929	593.881355932	5.73845647208	407.0	0.95276794	0.661960157793
10317.000003196	609.417910448	6.12389456728	460.0	0.96028856	0.692318292374
10317.000028833	306.78125	4.09999606828	203.0	0.89066274	0.534874937325
10317.000004291	957.188405797	6.27557693578	524.0	0.97161198	0.694706418011
10317.000035347	1135.40677966	6.36318756798	547.0	0.97295484	0.699605256597
10317.000031035	778.222222222	4.92446146766	375.0	0.88329626	0.575910103674
10317.000016765	632.0	6.15305756078	465.0	0.96419564	0.694390837834
10317.000004918	602.833333333	6.24661120986	477.0	0.97004982	0.702036379565
10317.000001347	615.3	5.90936568323	434.0	0.95192374	0.674465688376
10317.000005938	485.761904762	5.68027585536	404.0	0.94092226	0.656056492346
10317.000003982	547.269230769	5.11561553913	381.0	0.88508926	0.596667372387
10317.000001934	559.559322034	5.46324347199	397.0	0.91939898	0.632832909927
10317.000015355	592.677966102	5.96362285308	423.0	0.95463476	0.683547869082
10317.000002418a	726.908045977	6.40092726301	505.0	0.97689292	0.712787057224
10317.000026083	629.0	5.72343715181	447.0	0.93671272	0.650085413091
10317.000009476	397.019607843	4.68920870457	298.0	0.8861438	0.570521056102
10317.000003729	603.470588235	5.75587953557	472.0	0.94310448	0.647991763666
10317.000017219	763.6	6.44279250672	483.0	0.97401714	0.722619971959
10317.000004283	316.363636364	3.12119404554	150.0	0.7478166	0.431770968283
10317.000003473	639.085714286	6.56360800856	506.0	0.96836	0.730670455677
10317.000007068	340.7	4.93383495851	245.0	0.93128938	0.6216530219
10317.000011342	591.01369863	6.03606669768	448.0	0.95057696	0.68534386897
10317.000026056	448.509090909	4.7615063337	323.0	0.90831054	0.571239753759
10317.000012209	603.232142857	5.73398919594	401.0	0.94581746	0.663083753996
10317.000016355	676.373134328	6.44465940571	467.0	0.97563928	0.726791115391
10317.000015185	534.803571429	5.14766743117	366.0	0.9061895	0.60449141338
10317.000003028	475.344262295	5.27584244412	366.0	0.91246	0.619543025742
10317.000012985	697.818181818	6.17188035854	475.0	0.95889448	0.694110491724
10317.000016755	701.75	6.07584908259	478.0	0.94371448	0.682613189666
10317.000014327	508.518518519	5.57525472231	365.0	0.95507284	0.655006665383
10317.000013249	486.5	5.2536544309	305.0	0.94403646	0.636600922927
10317.000008950A	423.375	3.75566712491	256.0	0.78932614	0.469458390614
10317.000016716	588.115384615	6.12908775426	401.0	0.96855636	0.708773312573
10317.000022662	632.0	5.95651613411	420.0	0.96020388	0.683537791314
10317.000022443	557.75862069	5.21225569639	390.0	0.93166332	0.60556008732
10317.000017074	483.833333333	5.49927649015	356.0	0.94818238	0.648826031982
10317.000002511	472.166666667	4.95451516729	361.0	0.88793916	0.583168515895
10317.000013821	402.306122449	5.0172283776	293.0	0.92887832	0.612248595867
10317.000004819	339.784313725	4.92447004342	263.0	0.91735882	0.612578637748
10317.000017075	506.0	5.05473069662	375.0	0.90327122	0.591144940142
10317.000010834	565.454545455	5.6600485678	386.0	0.94127136	0.658722940743
10317.000014303	530.333333333	6.0137945487	361.0	0.9678871	0.70785041996
10317.000015265	617.789473684	5.64068759379	389.0	0.95656684	0.65561745334
10317.000003193	430.5	4.87887264431	288.0	0.91881132	0.597174716225
10317.000013619	687.013157895	6.67832745825	498.0	0.9784255	0.745348885958
10317.000005015	581.881355932	5.87920090198	395.0	0.96539688	0.681590465079
10317.000022925	412.035714286	5.29414720817	269.0	0.94723922	0.655909297518
10317.000003439	655.056603774	5.4103635619	409.0	0.94309244	0.623604236554
10317.000016735	581.445783133	6.09043012791	445.0	0.9650291	0.692278295773
10317.000011168	569.636363636	5.94733451016	382.0	0.96117804	0.693370312875
10317.000004972	511.161290323	6.30458664154	396.0	0.97261446	0.730597531091
10317.000009382	548.042857143	5.93856083551	403.0	0.96604348	0.68617106669
10317.000027308	505.02173913	5.51985141971	365.0	0.9174928	0.6484976296
10317.000003895	590.551724138	5.95186746388	403.0	0.96306326	0.687708581189
