OTU	Test-Statistic	P	FDR_P	Bonferroni_P	male_mean	female_mean
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Gracilibacillus	3.28331338278	0.0699875019316	0.260877695896	1.0	0.0	7.5880121087e-07
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Nesterenkonia	3.27448544859	0.0703649887669	0.260877695896	1.0	2.58935686635e-05	3.02357343772e-05
k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Variovorax	3.27151529368	0.0704924837846	0.260877695896	1.0	4.58411942165e-07	4.41900164095e-06
k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__; g__	3.24156313911	0.0717921121189	0.261041091751	1.0	3.33235899774e-05	4.75978259418e-05
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__CF231	3.23411046942	0.0721194585505	0.261041091751	1.0	5.71680140836e-05	6.93801548674e-07
k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__[Exiguobacteraceae]; g__Exiguobacterium	3.23221758176	0.0722028551651	0.261041091751	1.0	1.41085831167e-05	1.89623787836e-05
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__p-75-a5	3.21081213576	0.0731531648891	0.262457919831	1.0	5.05567587657e-05	5.92089656541e-06
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__	3.19025093052	0.07407863981	0.263764853869	1.0	1.47803121905e-05	1.05958365825e-05
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae; g__Streptomyces	3.16355998165	0.0752988141543	0.266093553778	1.0	8.98435302809e-05	0.000176215766607
k__Bacteria; p__Spirochaetes; c__[Brachyspirae]; o__[Brachyspirales]; f__Brachyspiraceae; g__Brachyspira	3.12353634031	0.0771691424842	0.269688367986	1.0	3.25574776475e-06	3.79087588172e-07
k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Wautersiella	3.11374725359	0.0776341563231	0.269688367986	1.0	6.43396444175e-06	2.1050637461e-07
